Parameters;Precisao;Revocacao;F1-Score;Tempo
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.5595;0.9896;0.7122;0.0051
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.5537;0.9955;0.7097;0.0052
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.5537;0.9954;0.7097;0.0050
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.6225;0.9934;0.7649;0.0077
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.8503;0.9905;0.9126;0.0109
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.9331;0.9865;0.9589;0.0164
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.9333;0.9830;0.9574;0.0232
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.9485;0.9783;0.9631;0.0304
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.9705;0.9675;0.9689;0.0353
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.9780;0.9571;0.9673;0.0443
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.9819;0.9480;0.9646;0.0495
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9875;0.9367;0.9614;0.0553
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9899;0.9271;0.9575;0.0604
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9919;0.9135;0.9511;0.0709
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.9954;0.7962;0.8847;0.1288
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.9966;0.6867;0.8131;0.1876
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.9971;0.5866;0.7386;0.2484
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.9974;0.4896;0.6567;0.2999
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.9974;0.3880;0.5586;0.3680
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.9977;0.2849;0.4431;0.4148
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.9978;0.1953;0.3264;0.4558
Rivers_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.9981;0.0999;0.1813;0.4922
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.5413;0.9961;0.6994;0.0050
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.5323;0.9974;0.6935;0.0047
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.5324;0.9973;0.6935;0.0047
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.6416;0.9946;0.7795;0.0083
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.9285;0.9913;0.9586;0.0103
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.9747;0.9831;0.9789;0.0165
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.9784;0.9773;0.9778;0.0237
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.9793;0.9726;0.9758;0.0289
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.9820;0.9658;0.9738;0.0345
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9863;0.9570;0.9714;0.0451
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9895;0.9477;0.9681;0.0479
