Parameters;F1-Score
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.9339
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.9319
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.9272
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.8697
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.7957
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.7132
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.6263
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.5367
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.4412
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.3270
Suicide_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.1840
